Dataset,Classifier,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_mean,acc_stddev,train_time,test_time
Heart_disease_prediction_20,DecisionTree,0.7833333333333333,0.6779661016949152,0.711864406779661,0.7966101694915254,0.711864406779661,0.7363276836158191,0.045708833457343376,0.00985407829284668,0.006651163101196289
Heart_disease_prediction_20,SVM,0.6,0.6610169491525424,0.6949152542372882,0.6610169491525424,0.6440677966101694,0.6522033898305085,0.030890266440391934,0.013853073120117188,0.010165214538574219
Heart_disease_prediction_20,KNN,0.6333333333333333,0.6440677966101694,0.6610169491525424,0.7288135593220338,0.6779661016949152,0.6690395480225988,0.03351268421347252,0.007905244827270508,0.012324333190917969
Heart_disease_prediction_20,LogisticRegression,0.85,0.9152542372881356,0.7966101694915254,0.8305084745762712,0.8135593220338984,0.841186440677966,0.04105615159787358,0.8805427551269531,0.007656097412109375
Heart_disease_prediction_20,Perceptron,0.5333333333333333,0.576271186440678,0.7796610169491526,0.6271186440677966,0.6101694915254238,0.6253107344632769,0.08357183145915871,0.00822138786315918,0.006352424621582031
Heart_disease_prediction_20,MLP,0.8166666666666667,0.847457627118644,0.7457627118644068,0.8135593220338984,0.7796610169491526,0.8006214689265537,0.03483471228886972,0.5510239601135254,0.008190393447875977
jEdit_4.2_4.3,DecisionTree,0.5945945945945946,0.6351351351351351,0.7027027027027027,0.6621621621621622,0.6164383561643836,0.6422065901517957,0.037520431681563965,0.010184526443481445,0.006251811981201172
jEdit_4.2_4.3,SVM,0.5675675675675675,0.5540540540540541,0.581081081081081,0.6486486486486487,0.6438356164383562,0.5990373935579415,0.03950806839993978,0.016117572784423828,0.010601282119750977
jEdit_4.2_4.3,KNN,0.6351351351351351,0.6216216216216216,0.6891891891891891,0.7162162162162162,0.6164383561643836,0.6557201036653091,0.039773011988973685,0.0068018436431884766,0.011133909225463867
jEdit_4.2_4.3,LogisticRegression,0.6081081081081081,0.5540540540540541,0.7027027027027027,0.7027027027027027,0.589041095890411,0.6313217326915957,0.06080675050700264,0.2723579406738281,0.007305145263671875
jEdit_4.2_4.3,Perceptron,0.5675675675675675,0.527027027027027,0.4864864864864865,0.5405405405405406,0.4657534246575342,0.5174750092558312,0.03679112673443649,0.008853673934936523,0.006471157073974609
jEdit_4.2_4.3,MLP,0.5135135135135135,0.527027027027027,0.6486486486486487,0.6756756756756757,0.5616438356164384,0.5853017400962607,0.06525253582632727,0.396808385848999,0.007548093795776367
meta_batchincremental.arff,DecisionTree,0.5333333333333333,0.6666666666666666,0.6,0.4666666666666667,0.6428571428571429,0.5819047619047619,0.0733024053519766,0.012117862701416016,0.0063686370849609375
meta_batchincremental.arff,SVM,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6761904761904762,0.01904761904761907,0.009425640106201172,0.007142305374145508
meta_batchincremental.arff,KNN,0.7333333333333333,0.6,0.6666666666666666,0.6,0.6428571428571429,0.6485714285714286,0.04952380952380951,0.007242679595947266,0.022019624710083008
meta_batchincremental.arff,LogisticRegression,0.7333333333333333,0.6,0.6666666666666666,0.4666666666666667,0.7142857142857143,0.6361904761904762,0.09644943924702598,1.3271143436431885,0.0098876953125
meta_batchincremental.arff,Perceptron,0.4,0.6666666666666666,0.4,0.6666666666666666,0.14285714285714285,0.4552380952380952,0.19651383430901226,0.020245075225830078,0.007622957229614258
meta_batchincremental.arff,MLP,0.8,0.6,0.7333333333333333,0.4666666666666667,0.6428571428571429,0.6485714285714286,0.11453940097807931,0.7427020072937012,0.010896682739257812
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,DecisionTree,0.8725,0.9225,0.895,0.9,0.9025,0.8985,0.016015617378046944,0.08112430572509766,0.006391763687133789
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,SVM,0.88,0.875,0.8775,0.89,0.9025,0.885,0.01012422836565829,0.2792990207672119,0.1155538558959961
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,KNN,0.7,0.7375,0.7325,0.69,0.7225,0.7165,0.01847971861257637,0.007691860198974609,0.05639362335205078
