,attr_conc.mean,attr_ent.mean,attr_to_inst,can_cor.mean,cat_to_num,ch,class_conc.mean,class_ent,cor.mean,cov.mean,eigenvalues.mean,eq_num_attr,freq_class.mean,g_mean.mean,gravity,h_mean.mean,inst_to_attr,int,iq_range.mean,joint_ent.mean,kurtosis.mean,lh_trace,mad.mean,max.mean,mean.mean,median.mean,min.mean,mut_inf.mean,nr_attr,nr_bin,nr_cat,nr_class,nr_cor_attr,nr_disc,nr_inst,nr_norm,nr_num,nr_outliers,nre,ns_ratio,num_to_cat,p_trace,pb,range.mean,roy_root,sc,sd.mean,sd_ratio,sil,skewness.mean,sparsity.mean,t_mean.mean,var.mean,vdb,vdu,w_lambda
Heart_disease_prediction_20,0.03203314551524554,1.6536019374242652,0.04391891891891892,0.7315829869884491,0.0,10.46939917004084,0.08310464436977458,0.9960115235485286,0.1561499896751339,5.961879823108637,280.32595405053047,9.914386106693179,0.5,44.50881631402547,22.412505160933204,43.78421764655109,22.76923076923077,75.81062274589311,10.911538461538461,2.549152220828422,0.030271629644969912,1.151526257720871,7.618283076923078,82.01538461538462,45.586590436590456,45.36923076923077,24.76923076923077,0.10046124014437198,13,3,0,2,0.01282051282051282,1,296,0.0,13,7,0.6903825793528782,15.460098790816124,,0.5352136668509414,-0.04179649071847336,57.24615384615385,1.151526257720871,0,8.369718230249614,1.0560843741352777,0.04397651041234489,0.42335488345247196,0.23487343621093137,45.31443388072602,280.32595405053024,4.526919186260244,4.924674367349589e-07,0.4647863331490586
jEdit_4.2_4.3,0.09509672032531315,2.3840591890012774,0.02168021680216802,0.34000444355343856,0.0,10.371772005346795,0.01096139546831831,0.9919270464052614,0.3070046686455963,2039.221091553889,37883.57185622124,21.644930977438996,0.5,11.186091195859952,183.31257800151818,4.456023791635721,46.125,469.9605890780848,41.75,3.3301590138996113,37.9684106036916,0.13071394912490805,22.424325,876.875,60.00237127371274,25.5,0.375,0.04582722150692786,8,0,0,2,0.25,1,369,0.0,8,7,0.687551435536961,51.02277403269737,,0.1156030216360834,0.0018359386206193967,876.5,0.13071394912490805,0,105.35189952725992,1.259462989545214,0.004572449512320023,4.366750461347219,0.03133030621822639,30.084641255605383,37883.57185622128,3.7950451310137305,1.2443111326913602e-08,0.8843969783639166
meta_batchincremental.arff,0.1269343295101449,1.7086226662735746,0.8378378378378378,0.9335626397506439,0.0,0.1668577104537208,0.04779263952084204,1.3100298863676454,0.2556102835156029,39226.499394222934,2657210.1836251486,12.439759062713335,0.25,,2385.239958621902,,1.1935483870967742,2352.668510734601,38.02615484274193,2.9133426443252057,12.00423848008069,23.467190717345616,4.910342851253225,2529.0910084516127,54.721147992371414,8.01177525,-20.514612870967742,0.10530990831601399,62,3,0,4,0.17398202009518773,3,74,7.0,62,38,0.908043522184999,15.224709465574117,,2.616016398502742,0.053790433843609854,2549.6056213225806,12.327668602671872,2,309.36970077237544,,-0.6682054297861802,1.6768777439598626,0.045455718338829006,16.58913699894811,2657210.18362515,2.291650638384301,6.034365900381015e-08,0.0017642367615758618
sylvine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.010825371108279455,3.5794769269210702,0.01,0.7316471388623079,0.0,14.862363691267849,0.004831111724112247,1.0,0.055908114672916176,7463.81756566836,529060.5828340796,21.885221294896667,0.5,,558.8895614546758,,100.0,4391.305632672329,591.3125,4.5337839916509495,0.9178289501805551,1.1519608710100173,412.19986499999993,2166.1,855.2613249999998,784.35,123.15,0.045692935270121596,20,0,0,2,0.031578947368421054,1,2000,0.0,20,17,0.6931471805599453,77.33764466564429,,0.5353075358054012,-0.01645532344302981,2042.95,1.1519608710100173,0,418.75171875980607,1.0477684620925434,0.011655407606262326,0.114418831701086,0.004594381235289825,802.6088333333335,529060.5828340795,11.05691684807125,3.765217258098028e-08,0.46469246419459875
MeanWhile1,0.14451630896535272,2.2589445496054554,0.14624505928853754,0.521175372103299,0.0,6.181016863058263,0.01549121063835237,0.4899405783929423,0.4339487043702239,56705.67000201273,10047191.271350315,10.475007662071423,0.5,133.0930588400858,9661.80206364076,54.902430071131334,6.837837837837838,19510.520220367413,334.82891891891893,2.702112791958306,7.789177704496756,0.3729168481003197,139.78834345945947,5201.062702702703,344.99951714560405,124.78054054054054,5.690810810810811,0.04677233604009193,37,1,0,2,0.45945945945945943,1,253,0.0,37,36,0.3396009305549768,47.2965945440303,,0.2716237684870122,-0.09755381027910687,5195.371891891892,0.3729168481003197,0,576.1685639705775,,0.290651632344351,2.1019229311122345,0.04239455313711973,169.07908143437558,10047191.271350306,2.728272857545263,2.670595622963444e-08,0.7283762315129878
pc4_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,0.16247303810445457,2.77851328667429,0.025377229080932786,0.5680919104322599,0.0,26.591266977327134,0.01675339911370053,0.5353247216329435,0.3509771129070362,469154.3929073482,106280594.70562664,10.728397465204013,0.5,1.454861009092415,25643.671109794,0.8231845746621413,39.4054054054054,48282.90249310215,360.8931081081081,3.263940088010266,104.57528281035245,0.47651256542970455,116.14768540540543,41034.6472972973,583.4640334779226,83.70851351351352,0.21675675675675674,0.04989792029696802,37,1,0,2,0.24324324324324323,1,1458,0.0,37,34,0.3710588214839124,54.6839497545777,,0.3227284186985748,-0.10229127527174653,41034.43054054055,0.47651256542970455,0,1837.8290669668515,,0.40444115175437995,6.437016115950555,0.03634396323185577,142.83245372084414,106280594.70562665,2.835914967909477,0.0,0.6772715813014252
robot-failures-lp1,0.17561556720969118,1.96818978978145,1.0227272727272727,0.9999999999999997,0.0,12.166692364033675,0.20398046138382747,1.928758087022283,0.30116979975688846,4900.4410359894955,26411.231999593638,3.8270482730205386,0.25,,1520.939133786589,,0.9777777777777777,1410.8149085462105,43.852777777777774,3.3929672762402623,10.398946210154211,inf,12.495023333333334,256.4555555555556,-27.387247474747472,6.055555555555555,-480.3888888888889,0.5039806005634703,90,0,0,4,0.18851435705368288,3,88,0.0,90,90,1.336913230001689,2.9052887900465527,,2.9999999999999982,-0.03471807342832918,736.8444444444444,inf,0,118.36936502939882,,0.0016761003995102517,-0.20268573059786305,0.011251911553183601,-2.1528806584362146,26411.231999593638,2.6505383328517444,3.4400924095107485e-05,0.0
FOREX_eurdkk-day-Close,0.3079904374946366,3.5849372870605083,0.005991285403050109,0.1499808889757591,0.0,0.12799180614769903,0.000445808632245551,0.9987636242791152,0.5705087786054258,750161.5898180038,7569861.555721329,281.5775855114465,0.5,5.4184435662475146,152.54594436128696,5.418438134342995,166.9090909090909,9100.733807203824,1434.9555170454546,4.580153883182304,3.5146765070271133,0.02301190294839194,948.1621196383636,18563.463537272728,1719.0074751708262,1380.9069145454546,5.401601818181819,0.0035470281573194125,11,0,0,2,0.5272727272727272,1,1836,0.0,11,2,0.6922901902149012,1009.6875750796817,,0.022494267057958976,-0.0004381180238315479,18558.061935454545,0.02301190294839194,0,1219.3382739312437,,0.00031673785707390543,0.4279660795537858,0.00017268596894536912,1505.7065108538193,7569861.555721328,87.2222253419099,1.1250374744490821e-10,0.977505732942041
ada_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,0.04624204950877912,0.5978037704920404,0.024,0.6331149525515074,0.0,151.72825748756804,0.053848196682819094,0.8080927832245588,,11.084494189248876,1718.2213545574887,35.354039750911504,0.5,31.41782777073146,176.62747719946375,28.489016286366397,41.666666666666664,393.28118168364153,12.479166666666666,1.3830393982424862,,0.6689880709208353,7.845425,118.29166666666667,34.16792708333333,32.729166666666664,5.708333333333333,0.022857155474113097,48,39,0,2,0.007978723404255319,1,2000,3.0,48,39,0.560127234322942,25.153900522271194,,0.40083454314429745,-0.12045908576025402,112.58333333333333,0.6689880709208353,0,14.080513395268687,,0.09656103990598056,,0.4716418266492044,33.08505208333333,1718.2213545574868,2.797476551880629,1.3706211962613998e-09,0.5991654568557025
FOREX_eursgd-day-High,0.4223230574318282,3.5849528012612115,0.006004366812227074,0.47618426904831285,0.0,3.387139325577188,0.000404417044698044,0.9990059432065903,0.7120307616897716,33857013.60494175,333826903.4116945,311.1170219970663,0.5,1.158082557457741,5211.434232921016,1.1570218097653076,166.54545454545453,67421.3150286293,10007.658409318181,4.580747714943303,-0.43038225575938216,0.29324524496186777,7093.838893271456,53782.3791009091,17558.498492227573,16228.243191818183,1.0502609090909092,0.0032110295244983755,11,0,0,2,0.5636363636363636,1,1832,0.0,11,2,0.6924581528962769,1115.4496538913793,,0.22675145808907599,-0.000408902209599104,53781.32884,0.29324524496186777,0,7838.586466603429,,0.0003777740928510353,0.3648968440226497,1.845182866917752e-05,16640.5541853843,333826903.4116946,18.290187236106764,1.376679363064424e-10,0.7732485419109241
