Dataset,base_perf_dt,base_perf_ab1,base_perf_ab2
autoUniv-au1-1000,0.651,0.7030000000000001,0.651
blood-transfusion-service-center,0.7727069351230426,0.6739418344519015,0.6739418344519015
cnae-9,0.8648148148148147,0.8648148148148147,0.9555555555555556
diabetes,0.7004329004329005,0.7707919531448943,0.658925388337153
ibm-employee-performance,0.9612244897959183,0.9612244897959183,0.8462585034013607
ilpd-numeric,0.7187002652519894,0.7187002652519894,0.7187002652519894
isolet,0.9611392082367066,0.9613955362576274,0.9611392082367066
kr-vs-kp,0.9937421752738654,0.9956196205007825,0.9937421752738654
monks-problems-2,0.7504407713498622,0.6772038567493113,0.7504407713498622
mushroom,1.0,0.955809776430466,1.0
pc1,0.9287595287595288,0.9287595287595288,0.9287595287595288
phoneme,0.8595499708774454,0.7525936204474595,0.8721331414670914
pizzacutter3,0.7766148325358853,0.7766148325358853,0.7766148325358853
qsar,0.8151658767772512,0.8597156398104266,0.8597156398104266
segment,0.9562770562770564,0.9562770562770564,0.8623376623376624
semeion,0.9535438970051852,0.9221466453737112,0.9535438970051852
solar-flare,0.7365079365079366,0.7365079365079366,0.7206349206349206
students_scores,0.868,0.875,0.8190000000000002
tic-tac-toe,0.8810100349040141,0.6732493455497383,0.8810100349040141
titanic,0.7450979179550608,0.7832859204287775,0.7905524634096063
usps,0.9690252592733982,0.9713913134012389,0.9713913134012389
wdbc,0.927992547741034,0.927992547741034,0.9138953578636858
