Dataset,src_svm_ab1,src_svm_ab2
autoUniv-au1-1000,-0.2,0.2
blood-transfusion-service-center,0.4285714285714286,0.6
cnae-9,0.08571428571428573,0.48571428571428577
diabetes,0.3142857142857143,0.3142857142857143
ibm-employee-performance,0.7714285714285715,0.3714285714285715
ilpd-numeric,0.2571428571428572,0.6
isolet,0.08571428571428573,0.7714285714285715
kr-vs-kp,0.8857142857142858,0.6571428571428573
monks-problems-2,-0.2,0.14285714285714288
mushroom,0.753702346348183,0.3188740696088466
pc1,0.40583972495671394,0.8986451052612952
phoneme,0.3714285714285715,0.08571428571428573
pizzacutter3,-0.4285714285714286,-0.028571428571428574
qsar,0.5428571428571429,0.7714285714285715
segment,0.4285714285714286,0.08571428571428573
semeion,0.08571428571428573,0.6571428571428573
solar-flare,0.6377481392176932,0.6667366910003157
students_scores,0.7142857142857143,0.7142857142857143
tic-tac-toe,0.48571428571428577,0.8285714285714287
titanic,0.3714285714285715,0.2
usps,-0.14285714285714288,0.6571428571428573
wdbc,0.08571428571428573,0.3714285714285715
